Question ID (machine readable - do not modify),Response ID (machine readable - do not modify),Response value,Answer requirement
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA_YES,true,Required
PSL_DATA_COLLECTION_ENCRYPTS_IN_TRANSIT,PSL_DATA_COLLECTION_ENCRYPTS_IN_TRANSIT_YES,true,Required
PSL_DATA_COLLECTION_USER_REQUEST_DELETE,PSL_DATA_COLLECTION_USER_REQUEST_DELETE_YES,true,Required
PSL_DATA_COLLECTION_DELETION_MECHANISM_URL,,https://tyson-yobot.github.io/transformr/delete-account.html,Required
PSL_DATA_TYPE_PERSONAL_NAME,PSL_DATA_TYPE_PERSONAL_NAME_COLLECTED,true,Required
PSL_DATA_TYPE_PERSONAL_NAME_SHARED,PSL_DATA_TYPE_PERSONAL_NAME_NOT_SHARED,true,Required
PSL_DATA_TYPE_PERSONAL_NAME_EPHEMERAL,PSL_DATA_TYPE_PERSONAL_NAME_NOT_EPHEMERAL,true,Required
PSL_DATA_TYPE_PERSONAL_NAME_REQUIRED,PSL_DATA_TYPE_PERSONAL_NAME_REQUIRED_TRUE,true,Required
PSL_DATA_TYPE_PERSONAL_NAME_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
PSL_DATA_TYPE_PERSONAL_NAME_PURPOSE,PSL_DATA_TYPE_PURPOSE_ACCOUNT_MANAGEMENT,true,Required
PSL_DATA_TYPE_EMAIL,PSL_DATA_TYPE_EMAIL_COLLECTED,true,Required
PSL_DATA_TYPE_EMAIL_SHARED,PSL_DATA_TYPE_EMAIL_NOT_SHARED,true,Required
PSL_DATA_TYPE_EMAIL_EPHEMERAL,PSL_DATA_TYPE_EMAIL_NOT_EPHEMERAL,true,Required
PSL_DATA_TYPE_EMAIL_REQUIRED,PSL_DATA_TYPE_EMAIL_REQUIRED_TRUE,true,Required
PSL_DATA_TYPE_EMAIL_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
PSL_DATA_TYPE_EMAIL_PURPOSE,PSL_DATA_TYPE_PURPOSE_ACCOUNT_MANAGEMENT,true,Required
PSL_DATA_TYPE_USER_IDS,PSL_DATA_TYPE_USER_IDS_COLLECTED,true,Required
PSL_DATA_TYPE_USER_IDS_SHARED,PSL_DATA_TYPE_USER_IDS_NOT_SHARED,true,Required
PSL_DATA_TYPE_USER_IDS_EPHEMERAL,PSL_DATA_TYPE_USER_IDS_NOT_EPHEMERAL,true,Required
PSL_DATA_TYPE_USER_IDS_REQUIRED,PSL_DATA_TYPE_USER_IDS_REQUIRED_TRUE,true,Required
PSL_DATA_TYPE_USER_IDS_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
PSL_DATA_TYPE_PHOTOS,PSL_DATA_TYPE_PHOTOS_COLLECTED,true,Required
PSL_DATA_TYPE_PHOTOS_SHARED,PSL_DATA_TYPE_PHOTOS_NOT_SHARED,true,Required
PSL_DATA_TYPE_PHOTOS_EPHEMERAL,PSL_DATA_TYPE_PHOTOS_NOT_EPHEMERAL,true,Required
PSL_DATA_TYPE_PHOTOS_REQUIRED,PSL_DATA_TYPE_PHOTOS_REQUIRED_FALSE,true,Required
PSL_DATA_TYPE_PHOTOS_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
PSL_DATA_TYPE_VIDEOS,PSL_DATA_TYPE_VIDEOS_COLLECTED,true,Required
PSL_DATA_TYPE_VIDEOS_SHARED,PSL_DATA_TYPE_VIDEOS_NOT_SHARED,true,Required
PSL_DATA_TYPE_VIDEOS_EPHEMERAL,PSL_DATA_TYPE_VIDEOS_NOT_EPHEMERAL,true,Required
PSL_DATA_TYPE_VIDEOS_REQUIRED,PSL_DATA_TYPE_VIDEOS_REQUIRED_FALSE,true,Required
PSL_DATA_TYPE_VIDEOS_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
PSL_DATA_TYPE_AUDIO,PSL_DATA_TYPE_AUDIO_COLLECTED,true,Required
PSL_DATA_TYPE_AUDIO_SHARED,PSL_DATA_TYPE_AUDIO_NOT_SHARED,true,Required
PSL_DATA_TYPE_AUDIO_EPHEMERAL,PSL_DATA_TYPE_AUDIO_EPHEMERAL_TRUE,true,Required
PSL_DATA_TYPE_AUDIO_REQUIRED,PSL_DATA_TYPE_AUDIO_REQUIRED_FALSE,true,Required
PSL_DATA_TYPE_AUDIO_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
PSL_DATA_TYPE_HEALTH_INFO,PSL_DATA_TYPE_HEALTH_INFO_COLLECTED,true,Required
PSL_DATA_TYPE_HEALTH_INFO_SHARED,PSL_DATA_TYPE_HEALTH_INFO_NOT_SHARED,true,Required
PSL_DATA_TYPE_HEALTH_INFO_EPHEMERAL,PSL_DATA_TYPE_HEALTH_INFO_NOT_EPHEMERAL,true,Required
PSL_DATA_TYPE_HEALTH_INFO_REQUIRED,PSL_DATA_TYPE_HEALTH_INFO_REQUIRED_FALSE,true,Required
PSL_DATA_TYPE_HEALTH_INFO_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
PSL_DATA_TYPE_FITNESS_INFO,PSL_DATA_TYPE_FITNESS_INFO_COLLECTED,true,Required
